unit,time,rpm_config,stage_temp_x,spindle_vibration_x,spindle_vibration_y,coolant_pressure,coolant_flow_rate,sensor_9,airflow_alignment_error,voltage_fluctuation,sensor_13,sensor_14,thermal_drift_z,motor_torque,load_variation,power_draw,RUL,rul_class
1,1,100.0,0.0428372849513607,0.4345096603534699,0.1802890225999434,0.8591629533560763,0.1943272979588073,9046.19,0.3401468975869832,521.66,2388.02,8138.62,0.2081217796469516,0.25,39.06,0.8504897431158795,191,0
1,2,100.0,0.1727800863929474,0.510640212649669,0.2454365820613517,0.7170463695625244,0.1116345996852032,9044.07,0.3525401897016138,522.28,2388.07,8131.49,0.2598494703066336,0.25,39.0,0.8589909443725716,190,0
1,3,100.0,0.2554132347312361,0.3732314731940178,0.272786058717763,0.8353797347751026,0.2657629290806653,9052.94,0.1813161111324888,522.42,2388.03,8133.23,0.201127537478932,0.0,38.95,0.7122528183330274,189,0
1,4,100.0,0.2561052437777675,0.1862547944061532,0.2128613809578823,0.8799126550762821,0.344508917112762,9049.48,0.0705851501460017,522.86,2388.08,8133.83,0.0,0.25,38.88,0.7671410090556208,188,0
1,5,100.0,0.2643922300783288,0.188564109590267,0.3245232589879165,0.7763576861643742,0.2002144341513485,9055.15,0.1865663705270037,522.19,2388.04,8133.8,0.2591028147647662,0.375,38.9,0.8235076695619981,187,0
1,6,100.0,0.1542176715678351,0.2465909538374191,0.12305839641418,0.9321324306244207,0.0664577582074343,9049.68,0.097979697374491,521.68,2388.03,8132.85,0.1770720198390876,0.125,38.98,0.7542043984476123,186,0
1,7,100.0,0.3064308512344951,0.5286874021872947,0.1075983349799969,0.8528300967037126,0.0714660081566762,9059.13,0.2524556131442921,522.32,2388.03,8132.32,0.1222563280713018,0.25,39.1,0.7736093143596392,185,0
1,8,100.0,0.3389379090469901,0.1923271426157526,0.1897218453873392,0.7394298493805707,0.0,9040.8,0.1643617373824355,522.47,2388.03,8131.07,0.1680580929827471,0.125,38.97,0.6501570874145273,184,0
1,9,100.0,0.1632542044123965,0.4804812336322328,0.0313563347899403,0.7015599905285228,0.1709221102873925,9046.46,0.1979276585370613,521.79,2388.05,8125.69,0.0312485463530975,0.25,39.05,0.8275734614673809,183,0
1,10,100.0,0.0,0.4899210229834594,0.1766559570751411,0.679241644024529,0.1676485731968569,9051.7,0.0,521.79,2388.06,8129.38,0.2557309499160638,0.375,38.95,0.9436333394936228,182,0
1,11,100.0,0.227159262817679,0.1490761446452353,0.1812777197347372,0.9018073917335698,0.1487052140619198,9049.61,0.0879791557236586,521.4,2388.01,8140.58,0.2837581016729089,0.25,38.94,0.9608205507299914,181,0
1,12,100.0,0.1396549890399114,0.2087471108475753,0.1688550219200308,0.8961510177644527,0.2772697588943629,9049.37,0.1144572413888269,521.8,2388.02,8134.25,0.1341617181916135,0.125,39.06,0.752541119940858,180,0
1,13,100.0,0.5421816088389733,0.1647920014610164,0.1862701380915012,0.6433993068184805,0.375219381556235,9046.82,0.2646881456169581,521.85,2388.08,8128.1,0.1896323329510281,0.375,38.93,0.5856588430973915,179,0
1,14,100.0,0.2551961240587843,0.5513598090150964,0.1432207748204135,0.8866155814868932,0.2935429611761719,9047.37,0.3153671061120207,521.67,2388.0,8134.43,0.1524672516961231,0.375,39.18,0.7832193679541675,178,0
